Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon alpha/beta signaling	7/64	9.167620393496858E-5	0.052897169670476876	0	0	7.387256484770208	68.68115344693118	MX2;STAT2;MX1;PTPN6;IFIT1;XAF1;IFIT3
Immune system signaling by interferons, interleukins, prolactin, and growth hormones	14/280	2.7018697928782965E-4	0.07794894352453885	0	0	3.200956937799043	26.300330813056448	IL1RN;STAT2;HGF;MX2;EIF4A3;MX1;NOD2;IFIT1;IFIT3;PTPN6;JAK2;RAF1;XAF1;IL6R
Interferon signaling	9/168	0.002065085607824355	0.33589910682797397	0	0	3.408106219426974	21.070901608568388	MX2;STAT2;EIF4A3;MX1;PTPN6;IFIT1;XAF1;JAK2;IFIT3
Signaling by interleukins	7/109	0.0023285899953412407	0.33589910682797397	0	0	4.1186996270901	24.969584967989775	IL1RN;HGF;PTPN6;NOD2;RAF1;JAK2;IL6R
Inhibition of cellular proliferation by Gleevec	3/24	0.007143874026827108	0.7087388163879399	0	0	8.504761904761905	42.02628153909273	MAP3K1;JAK2;RAF1
Sodium/calcium exchangers	2/9	0.009209762667502333	0.7087388163879399	0	0	16.97022011221407	79.54775740493686	SLC24A4;SLC8B1
SHP2 signaling	4/57	0.014924287331915228	0.7087388163879399	0	0	4.499397832195905	18.918912194265275	JAK2;RAF1;IL6R;GNAI1
Serotonin HTR1 group and FOS pathway	3/32	0.015878755163510054	0.7087388163879399	0	0	6.1561128526645765	25.503379443419295	RPS6KA5;MAP3K1;GNAI1
Natural killer cell receptor signaling pathway	4/60	0.017727332961575918	0.7087388163879399	0	0	4.257707338254451	17.169833259486364	MAP3K1;LCP2;PTPN6;RAF1
EPO receptor signaling	3/34	0.01869717282550638	0.7087388163879399	0	0	5.7583577712609975	22.914710748506117	PTPN6;JAK2;RAF1
MAPK/TRK pathway	3/34	0.01869717282550638	0.7087388163879399	0	0	5.7583577712609975	22.914710748506117	RPS6KA5;RUSC1;RAF1
Adenylate cyclase inhibitory pathway	2/13	0.019098186333203527	0.7087388163879399	0	0	10.797033781928041	42.736407800627916	ADCY4;GNAI1
fMLP induced chemokine gene expression in HMC-1 cells	3/35	0.020203466110130658	0.7087388163879399	0	0	5.578125	21.765292071676836	MAP3K1;NCF1;RAF1
Endothelins	4/64	0.021943857676722512	0.7087388163879399	0	0	3.9730496453900708	15.17414141721777	ADCY4;JAK2;RAF1;GNAI1
T cell receptor/JNK pathway	2/14	0.022039082915071014	0.7087388163879399	0	0	9.896777442094663	37.755591407006726	MAP3K1;LCP2
HIV-1 early elongation complex formation	2/14	0.022039082915071014	0.7087388163879399	0	0	9.896777442094663	37.755591407006726	NELFA;GTF2H3
Interferon gamma signaling regulation	2/14	0.022039082915071014	0.7087388163879399	0	0	9.896777442094663	37.755591407006726	PTPN6;JAK2
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	6/135	0.02563333364589178	0.7087388163879399	0	0	2.7790342080933077	10.18199693951092	IL1RN;HGF;TNFAIP2;TNFRSF10B;LCP2;FLI1
Immune system	25/998	0.027988257899232528	0.7087388163879399	0	0	1.55947598136704	5.576639664282817	IL1RN;CUL7;PHLPP1;NCF1;EIF4A3;NOD2;IFIT1;IFIT3;ASB16;IFIH1;RPS6KA5;JAK2;IL6R;MAP3K1;STAT2;HGF;MX2;CD180;MX1;LILRB3;CAPZA2;LCP2;PTPN6;RAF1;XAF1
Inhibition of platelet activation by aspirin	2/16	0.028435624782609945	0.7087388163879399	0	0	8.48208890807078	30.19719096958858	TBXAS1;RAF1
LPA4-mediated signaling events	2/16	0.028435624782609945	0.7087388163879399	0	0	8.48208890807078	30.19719096958858	RPS6KA5;ADCY4
Other glycan degradation	2/16	0.028435624782609945	0.7087388163879399	0	0	8.48208890807078	30.19719096958858	NEU3;ENGASE
Antiviral mechanism by interferon-stimulated genes	4/70	0.02932985722210078	0.7087388163879399	0	0	3.610758036289951	12.742904066204895	MX2;EIF4A3;MX1;IFIT1
Bioactive peptide-induced signaling pathway	3/41	0.030603052086462294	0.7087388163879399	0	0	4.695933014354067	16.373100829959434	JAK2;RAF1;GNAI1
Platelet sensitization by LDL	2/17	0.031878308849246854	0.7087388163879399	0	0	7.916213494461228	27.27792178055054	PTPN6;LRP8
Leishmaniasis	4/72	0.032081072036307015	0.7087388163879399	0	0	3.504201680672269	12.052663411115974	NCF1;PTPN6;JAK2;FCGR2C
Growth hormone receptor signaling	3/43	0.034585450464847886	0.7087388163879399	0	0	4.460681818181818	15.007170833040426	PTPN6;JAK2;RAF1
Interleukin-3 signaling pathway	3/45	0.0388222259205823	0.7087388163879399	0	0	4.2478354978354975	13.800208091088795	PTPN6;JAK2;RAF1
STAT3 pathway	2/19	0.0392213472789124	0.7087388163879399	0	0	6.984183401457259	22.61851615495576	JAK2;IL6R
Eicosanoid biosynthesis	2/19	0.0392213472789124	0.7087388163879399	0	0	6.984183401457259	22.61851615495576	PTGES2;TBXAS1
MAL role in Rho-mediated activation of SRF	2/19	0.0392213472789124	0.7087388163879399	0	0	6.984183401457259	22.61851615495576	MAP3K1;RAF1
Chemokine signaling pathway	7/189	0.039307493179955084	0.7087388163879399	0	0	2.2988437942425675	7.4398403828163575	NCF1;STAT2;ELMO1;ADCY4;RAF1;JAK2;GNAI1
Signaling by SCF-KIT	4/78	0.04121496002207311	0.7087388163879399	0	0	3.219091431857389	10.265534437475827	PHLPP1;PTPN6;JAK2;RAF1
Regulation of transcription by NOTCH1 intracellular domain	3/47	0.0433101269646307	0.7087388163879399	0	0	4.0543388429752065	12.728064836755625	TLE4;RBPJ;HDAC9
CXCR4 signaling pathway	5/116	0.04471787231665348	0.7087388163879399	0	0	2.685673478356405	8.345413502835036	STAT2;PTPN6;RAF1;JAK2;GNAI1
TRAF6 mediated NF-kB activation	2/22	0.051291402030715354	0.7087388163879399	0	0	5.935649546827794	17.63025707115309	IFIH1;MAP3K1
Differentiation pathway in PC12 cells	4/84	0.05167365798311326	0.7087388163879399	0	0	2.9767477203647417	8.819529412029933	VIPR1;MAP3K1;ADCY4;PLCH1
Nitrogen metabolism	2/23	0.05557364453429488	0.7087388163879399	0	0	5.652711840023018	16.3365984253856	AMT;CA6
Signaling events mediated by stem cell factor receptor (c-Kit)	3/52	0.055601566377088046	0.7087388163879399	0	0	3.6397031539888682	10.51708206779398	PTPN6;JAK2;RAF1
Endometrial cancer	3/52	0.055601566377088046	0.7087388163879399	0	0	3.6397031539888682	10.51708206779398	APC2;AXIN2;RAF1
Kit receptor signaling pathway	3/54	0.060934056360923895	0.7087388163879399	0	0	3.4966131907308378	9.783394482705654	PTPN6;JAK2;RAF1
Basal cell carcinoma	3/55	0.06368669845729633	0.7087388163879399	0	0	3.429195804195804	9.443249291008955	APC2;STK36;AXIN2
Alpha-9 beta-1 integrin pathway	2/25	0.06449436833466345	0.7087388163879399	0	0	5.160646262971233	14.146246759060476	SAT1;PAOX
RNA polymerase I transcription initiation	2/25	0.06449436833466345	0.7087388163879399	0	0	5.160646262971233	14.146246759060476	TAF1C;GTF2H3
TPO signaling pathway	2/25	0.06449436833466345	0.7087388163879399	0	0	5.160646262971233	14.146246759060476	JAK2;RAF1
Interferon alpha signaling regulation	2/25	0.06449436833466345	0.7087388163879399	0	0	5.160646262971233	14.146246759060476	STAT2;PTPN6
