Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic ribosomal proteins	29/108	3.484204766095642E-26	2.442427541033045E-23	0	0	21.760567702339856	1275.5821216276638	RPL3;RPL32;RPL31;RPL12;RPLP0;RPL10A;RPL6;RPS15;RPS4X;RPL7A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;RPS12;RPL21;RPS7;RPS5;RPL35A;RPS29;EIF3H;RPS20;RPL28;UBA52;RPS21;RPS24
Influenza viral RNA transcription and replication	29/125	3.395975598506556E-24	1.0785272413027513E-21	0	0	17.89157196969697	966.8507294316253	RPL3;RPL32;RPL31;RPL12;RPLP0;RPL10A;RPL6;RPS15;RPS4X;RPL7A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;POLR2J;RPS12;RPL21;RPS7;RPS5;RPL35A;RPS29;RPS20;RPL28;UBA52;RPS21;RPS24
Translation	31/151	4.615665797301361E-24	1.0785272413027513E-21	0	0	15.374771341463415	826.1262249683747	RPL3;RPL32;RPL31;RPL12;RPLP0;RPL10A;RPL6;RPS15;RPS4X;RPL7A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;RPS12;RPL21;RPS7;RPS5;RPL35A;EEF2;EEF1A1;RPS29;EIF3H;RPS20;RPL28;UBA52;RPS21;RPS24
Influenza infection	30/142	1.042140363898012E-23	1.826350987731266E-21	0	0	15.899641771602258	841.3801131290376	NUP107;RPL3;RPL32;RPL31;RPL12;RPLP0;RPL10A;RPL6;RPS15;RPS4X;RPL7A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;POLR2J;RPS12;RPL21;RPS7;RPS5;RPL35A;RPS29;RPS20;RPL28;UBA52;RPS21;RPS24
Cap-dependent translation initiation	19/73	2.7527606937871604E-17	3.8593704926895985E-15	0	0	20.269771241830064	772.9135852432298	RPL3;RPL32;RPL21;RPL31;RPL12;RPLP0;RPL35A;RPL10A;RPL6;RPL7A;RPL36;RPL35;RPLP2;RPL13;EIF3H;RPL38;RPL37;RPL28;UBA52
Protein metabolism	38/442	1.2368079183085267E-15	1.445003917890462E-13	0	0	5.636824897443016	193.49101888854466	RPL3;RPL32;RPL31;RPL12;RPLP0;FURIN;RPL10A;RPL6;GALNT10;RPS15;RPS4X;RPL7A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;RPS12;RPL21;RPS7;RPS5;RPL35A;EEF2;EEF1A1;DPM2;B3GNT7;RPS29;EIF3H;RPS20;PFDN4;UBA52;RPL28;RPS21;ST6GALNAC4;PFDN5;RPS24
Disease	45/674	2.9553006532368695E-14	2.959522511312922E-12	0	0	4.331716504815043	134.9441922226908	GSK3A;NUP107;RPL3;RPL32;RPL31;RPL12;RPLP0;PARN;FOXO4;RPL10A;RPL6;RPS15;RPS4X;RPL7A;PSMD4;AKT2;UBC;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;IGF2BP2;RPS11;CCR5;ATP6V1E2;POLR2J;AP2M1;RPS12;MAP2K2;RPL21;RPS7;HSPA5;RPS5;RPL35A;AP2B1;RPS29;TCEA1;HYOU1;RPS20;UBA52;RPL28;RPS21;RPS24
Gene expression	47/968	5.455324271824106E-10	4.780227893185873E-8	0	0	3.0618892508143323	65.30782845436165	DDX6;NUP107;RPL3;RPL32;RPL31;RPL12;RPLP0;PARN;RPL10A;RPL6;RPS15;RPS4X;RPL7A;RXRA;SNRPD2;PSMD4;UBC;RPL36;RPL35;RPLP2;RPL13;RPL38;ZNF304;RPL37;RPS11;POLR2J;RPS12;RPL21;RPS7;RPS5;RPL35A;MED27;EEF2;EEF1A1;NFIA;RPS29;TBL1XR1;AGO2;TCEA1;EIF3H;RPS20;UBA52;RPL28;RPS21;MAMLD1;RPS24;DCP1B
Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	11/57	4.7182475029367045E-9	3.674990555065144E-7	0	0	13.464830084957521	258.1454117976459	RPS15;RPS4X;RPS7;RPS29;RPS5;EIF3H;RPS20;RPS11;RPS21;RPS24;RPS12
Interleukin-2 signaling pathway	39/847	7.512139956675151E-8	5.2660101096292805E-6	0	0	2.8406830136138614	46.59901971889411	CLIC3;ARL6IP1;PRF1;FURIN;PRSS23;GALNT10;GNLY;CXCR3;UBC;MXI1;PIM1;S1PR1;E2F2;CLSPN;CCR5;MAP2K2;RPL21;ST13;GZMA;NFATC3;LMTK2;NKG7;GZMB;BPGM;LARP4;DUSP8;DPM2;GZMM;PPP2R2B;ID2;AGO2;IL2RB;WAC;KLRF1;BLVRB;VAMP4;LPIN2;EZH2;BCL2L1
