"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"aDC",0.0473269778472869,0.00158003329658785,0.0511295040529305,0.0588890225577452,0,0.00662400655137293,0.00566388365189456,0,0.00771385004780383,0.134496184161687,0,0.0485769175066048,0.0254097122837693,0.016684730802436,0.119449916615713,0.00217549241855562,0.0286721766327242,0,3.59175501732848e-21,0.0214150098292724,0.0116066830143064,3.27171208742136e-18,0.0106380808557945,0.0348555214126921,3.01040213842097e-18,0.00848625334380976,0.0712655627157908,0.0230934428801315,0.0835033481087911,0.0150622734703918,1.29707811513169e-19,2.53334144003131e-19,0.0118033148424824,0.0325486654020042,0.0369554426537807,0.0777556207841684,0.0265067802495991,0.0413285401651561
"Adipocytes",5.70703111046944e-19,2.62958609266919e-18,0,0,0,0,1.89431376794969e-19,6.12951070772667e-19,1.14752288146166e-19,0,0,0,0,1.32976495360714e-19,0,0,2.66549560045071e-18,1.91728083209911e-18,0,3.51091477375858e-18,1.81256053397049e-18,0,9.10821985094405e-19,0,0,0.0014821046786885,0,4.27998264870501e-18,2.28335276737181e-19,1.94932343493375e-18,0,2.58546146382424e-18,1.79132885693527e-18,0,4.49031725374206e-19,1.21909655320693e-18,2.17087244641301e-18,0
"Astrocytes",0,0,1.61778764667798e-18,8.7325398808301e-18,1.7149275606938e-17,6.45709399670098e-18,1.82087862391391e-17,3.0002694975205e-18,2.17792159190255e-17,0,8.99275784586898e-18,0,0,9.17665361254104e-18,2.67233239466416e-17,1.46398664040967e-17,5.82490122215047e-18,2.2758332162076e-17,3.57120980639298e-18,0,0,0,2.25319645768235e-18,4.35326324917704e-17,0,4.08114690722094e-18,8.32038142671676e-18,0,7.33270064686055e-18,1.86399086616719e-17,2.74465394087083e-17,0,2.39581058706974e-18,6.94485671842551e-18,2.10467199127915e-17,0,1.07043750146926e-17,6.60667688303978e-18
"B-cells",0.197109945875316,0.165426275596109,0.186152075005623,0.169401488318347,0.00199477596714787,0.1198413905385,0.0667787183509151,0.108170514743921,0.138868552863054,0,0.0519302487279884,0.107810811398087,0.226637041747775,0.218300396796876,0.214611454296765,0,0.100849559912098,0.182680904272344,0.0926854441643693,0.137995665097503,0.0744932856916743,0.0742560175670541,0,0.311410608790254,0.0302426375441509,0,0.0948518242079353,0.137099015267775,0.237478567730847,0.193988591812073,0.217407184800234,0.028369919082279,0.243198573495294,0.218903015154207,0.172634097376446,0,0.123380391685293,0.241229111331502
"Basophils",2.38649834698885e-17,0.0327560275225609,2.94839471264312e-18,0.0173660994175102,3.47318997424993e-18,0.0170721894959517,0.0152571448256706,3.00243172913816e-19,0,1.1913480760306e-18,0.036341090947912,0.0258538807608294,2.47851848477569e-18,0,0,0.0416009928305432,0,1.44128477757983e-18,0.0376990137794666,0,1.15035342435204e-19,0,0,0.0137651339947501,1.26984483145384e-18,8.23592558894557e-18,0,0.000773023166145152,0,0,1.0697836472347e-20,6.05667990465717e-18,0,0,0,0.0280315380817387,2.77264959584894e-19,5.16662929841259e-18
"CD4+ memory T-cells",0.10622652312221,0.0645437568753159,0.0769058557207624,0.0813890690066994,1.58231627397229e-19,0.121743317940703,0.00563690557272398,1.28229347760331e-18,0.0405349839750949,0,0.0767422852450845,0.0644515663786186,0.0434918100124527,0.0783958812876537,0.0329182722707368,0,0.0387479093232921,0.0692844930461264,0.0301363582403859,0.0730085953717818,0,0.0270101461974398,0.0974224354527264,0,0,9.99636533525018e-19,0.0267535477246666,0.0880702500415496,0.0664143777777787,0.0751675766014446,0.0379548435101925,0,0.0867017091758214,0.108630543803045,0.100461968774425,0.0169644408812513,0.0737177076210438,0.0833242451623525
"CD4+ naive T-cells",0.0138259484960508,0.0203436086829133,0.0200915845691651,0.0171679295044455,1.7881520268466e-17,0.0189902912392657,0.00801004111611739,1.65538770763949e-18,0.0107469544992284,0,3.83358369511723e-19,0,0,0.0176811810831675,0.0124722973670136,0.0321041250277013,0.0067506636306853,0.00020936084452625,0.0221051832699551,0.0080056245350367,0.0424120128592029,0.119327048121972,0.0265804885267268,5.22866096173341e-20,0.0664664381784067,4.39352592473369e-18,0,3.66901848511069e-20,0.00183780290862599,0,0.0397984468828593,0,2.75327825588589e-18,0.0121438958375344,0.0581115952095046,0,0.0153695140859619,0.0188638398138906
"CD4+ T-cells",0.114336860375319,0.0736845736089885,0.100091366658902,0.116933555701661,1.74311062669767e-17,0.13702250288811,2.16751820718858e-19,8.69164179755967e-18,0.00621509029508109,0,0.085076140582973,0.0652741921009359,0.0182346302104965,0.115375242434971,0.0538048609646449,0,0.032671308246395,0.10189813549228,0.0365868502338374,0.110065020154872,0.00189421611911531,0.0468109972586748,0.157599939480797,0.0144383360659064,0.012629139741678,2.78800805216155e-18,0.0214525736832862,0.0742067450773843,0.104342304370645,0.113633389365728,0.0736082165353907,7.91496713848404e-18,0.0915066739094067,0.160486270839243,0.170499673532009,0.0463002166946522,0.0752757050785259,0.0838514508285762
"CD4+ Tcm",0.128931080275571,0.0949543472881035,0.153103417201272,0.17394889589236,2.21070434953316e-17,0.153289122295448,0.0672910788360058,0,0.0147172725725813,3.23890945611721e-19,0.106145511681356,0.0777072776789259,0.0170171223758352,0.13623121950453,0.0952769228101162,0.00634181784287457,0.0554207269483669,0.13173602080124,0.110448310697064,0.155497048473505,0,0.0273363122872971,0.192186752066122,0.132476979734779,0.0178812508830072,0,0,0.0677615717531229,0.176598779606588,0.212486247223907,0.229386159393496,4.40047424907979e-20,0.129283191985082,0.207551943462762,0.263207699975583,0.0918248457827263,0.0876275794725489,0.0828517087543349
"CD4+ Tem",0.224735409061981,0.1316811372572,0.195006062166817,0.199355950949296,2.91744536330666e-17,0.226104762383172,0.0497226527713273,0.0201197059531042,0.0901347732319281,0,0.0143336208437545,0.152017912033845,0.107841062510472,0.167449105947791,0.159883237681238,0.00625945997187728,0.157397029828943,0.244862058487684,0.132218601578098,0.213722130234609,0.0712768100615613,0.0674392403054015,0.293376690961427,0.0738566356121659,2.37211371342976e-18,0,0.11195366190308,0.202098436486322,0.197587848182205,0.207230054242362,0.0957481658864029,0.0283099556829083,0.244785941345606,0.212808077591279,0.288066466118575,0.176235522216847,0.127941728957757,0.133427076591697
"CD8+ naive T-cells",0.29556282698403,0.281696131516456,0.263373501226915,0.270507224657079,0.0296775881411568,0.306943703920899,0.0851486045093315,0.137053425845258,0.214326561386878,0.0955452728902349,0.336453146581783,0.207396396114146,0.214860669524417,0.199378477865501,0.220925110215148,0,0.214136632532582,0.266227825729565,0.247504900901586,0.290298208392792,0.121800755014031,0.0533800981310609,0.27066647407767,0.210721655557068,0.0832039894353093,0.0434738608098454,0.198760852820552,0.272835185651021,0.262284445398233,0.26672973572018,0.21416830937212,0.0749946758017204,0.285040760245762,0.283009462321606,0.28231764701508,0.307374108973082,0.272977972577273,0.252217574472244
"CD8+ T-cells",0.194517153109592,0.193986788587214,0.17844831860537,0.173750969609077,0,0.235344628091097,0.0350907147652482,0.0367226063946718,0.193502484088158,6.69338307625189e-19,0.152207320676807,0.182355349110585,0.0830281317557623,0.132288261464694,0.0827863657990479,2.93047214283293e-18,0.139978791674039,0.145484573273169,0.167847304668133,0.213794375619842,0.143384287134549,3.55694746202807e-18,0.16625410338686,0.106135627352684,0.0247018815842971,4.46965721427219e-18,0.206047640093629,0.208634180674998,0.136414558616399,0.146654160816486,0.0816074326156356,0,0.19657164919007,0.173662924838687,0.144230658713608,0.207724555171025,0.154024752346684,0.216443016090129
"CD8+ Tcm",0.151759736635672,0.167685354105578,0.138372505975522,0.0843689383495875,3.32874645275199e-18,0.22052098011934,0,0.0305472945548866,0.129059792482459,0,0.0833206476443406,0.160841544581989,0.0980978245740461,0.134254484928061,0.0356324581174242,0,0.0953876171798272,0.113295937660822,0.0339859416619725,0.215810531496195,0.21161628097507,0,0.151431700194051,0.0259577208111869,2.65832896049964e-18,0,0.203986405839657,0.224397966600176,0.105113010371611,0.113570265278217,0,0,0.188038537104436,0.129835992825111,0.0845614422901993,0.13917997696548,0.135255499723565,0.185789652093519
"CD8+ Tem",0,4.43148893864692e-18,0,0,7.63202873508381e-18,0,0,0.0123047575109186,3.49867491067e-18,1.14681939160591e-17,4.14535850724633e-18,0.000896063653484291,0,2.11624735189237e-18,1.9901431172944e-18,0,5.25012371566526e-18,2.93861300314492e-18,7.06641148855466e-19,0.0607043783189029,0,0,0,6.65219841496318e-18,0,0,2.61929237876421e-18,0,0.00931564199957365,0,5.39048166834381e-18,0,0.0211571445218953,0,0,0.0128878548158323,8.10113052186309e-19,9.60848334324626e-18
"cDC",0.100856896250074,0.135202383590296,0.104157926537247,0.155966490937566,2.57535483871859e-19,0.138467111721422,0.00836753741642466,6.32239378295999e-19,0.13440725624192,1.4378976287189e-18,0.099586557072798,0.146325679574402,0.259628399501347,0.193011728721777,0.299432403187939,0.106472791140569,0.0610281136749931,0.177192533290799,0.0247577115078779,0.119218014821418,0.00659802860245818,6.90018249662199e-05,0.119324062141228,0.0700516698272849,3.15414279938968e-18,0.0761235797623604,0.0960201908897875,0.265531689032994,0.0866632356824982,0.0489562021266302,0,0.0282769538663607,0.135252792184801,0.112164379042994,0.117703488061446,0.13604622710823,0.256868783386206,0.08003197992962
"Chondrocytes",1.14707069029101e-17,1.95348982790292e-17,9.72055656862663e-18,0,0,1.04745875202147e-17,1.34546054511231e-17,0,1.1115757288207e-18,0,0,1.04506941206329e-17,9.95639694107251e-18,4.54936985873802e-18,9.88833698883459e-18,0,9.12918945953898e-18,4.22070308980282e-18,8.81698680726859e-18,1.69434654323903e-17,0,1.79522335172089e-17,3.30527558807913e-18,3.550296175689e-17,0,0,1.42971813258374e-17,1.4710876771626e-17,1.05758047652903e-17,4.71197517064464e-18,2.16496135812777e-17,0,1.15402363775908e-17,1.13504913711588e-17,4.66168195141238e-18,6.81311063385319e-18,7.62932227351053e-18,0
"Class-switched memory B-cells",0,9.20788147386156e-19,0.0474935100454246,0.0229084190986617,0.0269239778303969,0.00826677505708806,1.19451875143394e-18,0.015394054185424,5.7445588651312e-18,0,0,6.94142899622648e-19,0.0239868602994985,0.00130543421516639,0.00935527784532294,2.31557949338037e-17,2.40269466695967e-18,0.00709992759719322,0.00719357840801654,0,0.0135841056341975,0,2.28090505745298e-18,4.95436745330278e-18,0.0355457284070046,2.26705061382162e-17,1.70688978783138e-18,0,0.031436907882529,0.000964978224106824,0.0530195603127395,6.69620290490393e-18,0.0254160022627106,0.0220303455122698,0.0251761498495217,8.58736127814596e-18,1.61527268345386e-19,0.0378092326562392
"CLP",0.0413140443554103,0.0542766648565919,0.0348957042103126,0.0288358209715988,0.0220354936427307,0.0535760895183834,0.00729315002020544,0.0578548005882119,0.054827818791515,0.0124706984836068,0.111599325228231,0.0275073196305724,0.0723465999628755,0.0423983586002269,0.0254700103433384,0,0.0261365913777551,0.0536383142065952,0.0360851528468223,0.0425717044289512,1.5829388597318e-19,0.0549429133430998,0.0289969989265578,0,0.139458844742402,0,0.0558509145487336,0.082389068338195,0.0507109319413692,0.0281158577082109,0,0.0904081196539493,0.0452760416733774,0.0494198543130246,0.03331515540734,0.058965711716244,0.0506221650377946,0.079158449350162
