"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"aDC",0.321956666666667,0.849603333333333,0.3011,0.262103333333333,1,0.712543333333333,0.732186666666667,1,0.692453333333333,0.0587733333333333,1,0.314933333333333,0.47719,0.564803333333333,0.07925,0.825953333333333,0.44942,1,1,0.514903333333333,0.630143333333333,1,0.644196666666667,0.4018,1,0.67909,0.209573333333333,0.498773333333333,0.16631,0.584366666666667,1,1,0.627313333333333,0.419166666666667,0.386893333333333,0.18575,0.467613333333333,0.35822
"Adipocytes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes",1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333
"B-cells",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Basophils",1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"CD4+ memory T-cells",0,3.33333333333297e-05,0,0,0.666666666666667,0,0.29903,0.666666666666667,0.0408333333333334,1,0,4.33333333332842e-05,0.02986,0,0.0787866666666667,1,0.04863,0,0.0961233333333333,0,1,0.117166666666667,0,1,1,0.666666666666667,0.119036666666667,0,0,0,0.05224,1,0,0,0,0.19874,0,0
"CD4+ naive T-cells",0.0110933333333333,0.00114000000000003,0.00126666666666664,0.0038933333333333,0.666666666666667,0.00194000000000005,0.0482366666666667,0.666666666666667,0.0251166666666667,1,0.666666666666667,1,1,0.00322,0.0161233333333334,0,0.0658033333333333,0.602463333333333,0.000453333333333306,0.0482833333333333,0,0,2.33333333333752e-05,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0.322173333333333,1,0,1,0.666666666666667,0.01754,0,1,0.00702999999999998,0.00202333333333338
"CD4+ T-cells",0,0,0,0,1,0,1,1,0.214906666666667,1,0,0,0.11913,0,0.00597999999999999,1,0.0532066666666666,0,0.0406366666666667,0,0.274503333333333,0.0162733333333334,0,0.143736666666667,0.156923333333333,1,0.101443333333333,0,0,0,0,1,0,0,0,0.01737,0,0
"CD4+ Tcm",0,0,0,0,1,0,0.00163333333333338,1,0.267736666666667,1,0,0,0.25403,0,0,0.313673333333333,0.03412,0,0,0,1,0.189406666666667,0,0,0.24873,1,1,0.0011066666666667,0,0,0,1,0,0,0,0,0,0
"CD4+ Tem",0,0,0,0,0.666666666666667,0,0.05404,0.16993,0,1,0.201323333333333,0,0,0,0,0.26052,0,0,0,0,0.00443000000000005,0.0107333333333334,0,0.00114666666666663,0.666666666666667,1,0,0,0,0,0,0.131846666666667,0,0,0,0,0,0
"CD8+ naive T-cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8+ T-cells",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CD8+ Tcm",0,0,0,0,0.666666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,0,0,1,1,0,0,0,0,0,0
"CD8+ Tem",1,0.333333333333333,1,1,0.333333333333333,1,1,0.125653333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.281973333333333,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0,1,1,1,0.333333333333333,1,1,0.333333333333333,1,0.152016666666667,1,0.333333333333333,1,0.0673333333333334,1,1,0.120973333333333,0.333333333333333,0.333333333333333
"cDC",0,0,0,0,1,0,0.0857666666666667,1,0,1,0,0,0,0,0,0,0,0,0.00654333333333335,0,0.109466666666667,0.98371,0,0,1,0,0,0,0,0,1,0.00317666666666672,0,0,0,0,0,0
"Chondrocytes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Class-switched memory B-cells",1,0.666666666666667,0,0.0265633333333334,0.0141533333333334,0.141813333333333,0.666666666666667,0.0684399999999999,0.666666666666667,1,1,0.666666666666667,0.0226433333333333,0.278866666666667,0.12761,0.666666666666667,0.666666666666667,0.158843333333333,0.157483333333333,1,0.0830866666666666,1,0.666666666666667,0.666666666666667,0.0021066666666667,0.666666666666667,0.666666666666667,1,0.00597999999999999,0.623233333333333,0,0.666666666666667,0.0181833333333333,0.0300533333333334,0.01888,0.666666666666667,0.666666666666667,0.000926666666666631
"CLP",0,0,0,0,0,0,0.02585,0,0,0.000796666666666668,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"CMP",1,1,1,1,0.20275,1,0.03783,0.16745,0.8785,0.0196366666666666,1,0.47478,1,1,1,0.00114333333333339,1,1,1,1,1,0,1,0.000313333333333388,0.00995666666666661,0.415133333333333,1,1,1,0.364223333333333,0,0.0039366666666667,1,1,1,1,1,1
"DC",1,1,0.810676666666667,1,1,1,1,1,0.91385,1,1,1,1,0.36678,0.104476666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.15247,1
"Endothelial cells",1,1,0.805053333333333,1,1,1,1,1,0.587033333333333,1,1,0.841696666666667,1,0.913726666666667,1,0.0632533333333334,0.60208,1,1,1,0.380553333333333,0.363236666666667,1,1,0.45712,0.115903333333333,0.863773333333333,1,1,1,1,0.169036666666667,1,1,1,1,1,1
"Eosinophils",1,1,1,1,0.851896666666667,1,0.00961999999999996,1,1,1,1,0.16385,1,1,1,0.430486666666667,1,1,1,1,0.27935,0.0206233333333333,1,0.02267,0,1,1,1,1,1,0,0,1,1,1,1,1,1
"Epithelial cells",0.0776833333333333,0.292013333333333,0.0595766666666666,0.00435666666666668,1,0.05296,0.0527966666666667,1,0.00365666666666664,0.269276666666667,0.38346,1,0.198303333333333,0.579136666666667,0.0444066666666667,1,0.253606666666667,1,0.00726000000000004,1,0.200786666666667,0.00147333333333333,0.0622366666666667,0,0.04527,0.96027,0.554556666666667,0.120946666666667,0.39086,0.28397,0.02912,1,1,0.0197033333333333,0.30182,0.372833333333333,0.97472,0.924306666666667
"Erythrocytes",0.15535,0.111703333333333,0.0672866666666667,0.03125,0.132486666666667,0.0119766666666666,0.101263333333333,0.000666666666666704,0.00517666666666672,0.0238166666666667,0.000909999999999966,0.000803333333333378,0.00395999999999996,0.0331966666666667,0.01183,0.0792333333333334,0.00806333333333331,0.0510366666666666,0.0376266666666667,0.0976166666666667,0.31945,0.333333333333333,0.14906,0.0518,1,1,0.000703333333333278,0.0104933333333334,1,0.0395633333333333,0.28306,0.333333333333333,0.0307033333333333,0.166646666666667,1,0.183223333333333,0.00377000000000005,0.126376666666667
"Fibroblasts",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.27301,1,1,1,1,1,1,1,1,1,0.26105,1,1,1,1,1,1,1,1,1,1,1,1
"GMP",1,1,0.548683333333333,0.360173333333333,0.0938666666666667,1,0.154213333333333,1,0.41274,0.94354,1,0.50782,1,1,0.10246,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0.49541,0,0,1,1,1,1,1,1
"Hepatocytes",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HSC",0.474573333333333,0.481813333333333,0.59198,0.66126,0.000966666666666671,0.685923333333333,0.42234,0.2418,0.621216666666667,0.005,0.64185,0.72399,0.8364,0.46926,0.803446666666667,0.00304666666666664,0.660846666666667,0.5784,0.429123333333333,1,0.112213333333333,0.19761,0.674983333333333,1,0.08766,9.33333333332786e-05,0.372636666666667,0.554796666666667,0.82709,1,0.309463333333333,0.0442633333333333,1,0.841366666666667,0.67019,1,0.555883333333333,0.452136666666667
"iDC",0.534623333333333,0.523703333333333,1,1,0.609086666666667,1,0.59501,1,0.619713333333333,1,1,0.4692,1,0.42347,0.278416666666667,0.438766666666667,1,1,1,1,1,0.44619,1,1,1,0.469956666666667,1,0.582213333333333,1,1,0.533866666666667,1,0.378143333333333,1,1,1,1,1
